trait1	trait2	n_species_overlap	phi	p_value
methanogenesis by CO2 reduction with H2	methanogenesis by reduction of methyl compounds with H2	13293		
methanogenesis by CO2 reduction with H2	aerobic ammonia oxidation	1441		
methanogenesis by CO2 reduction with H2	aerobic nitrite oxidation	1634		
methanogenesis by CO2 reduction with H2	nitrification	1628		
methanogenesis by CO2 reduction with H2	sulfate respiration	4850		
methanogenesis by CO2 reduction with H2	sulfur respiration	4857		
methanogenesis by CO2 reduction with H2	dark sulfite oxidation	397		
methanogenesis by CO2 reduction with H2	sulfite respiration	5813		
methanogenesis by CO2 reduction with H2	thiosulfate respiration	6054		
methanogenesis by CO2 reduction with H2	respiration of sulfur compounds	5925		
methanogenesis by CO2 reduction with H2	arsenate detoxification	151		
methanogenesis by CO2 reduction with H2	arsenate respiration	3467		
methanogenesis by CO2 reduction with H2	dissimilatory arsenate reduction	84		
methanogenesis by CO2 reduction with H2	arsenite oxidation detoxification	98		
methanogenesis by CO2 reduction with H2	arsenite oxidation energy yielding	286		
methanogenesis by CO2 reduction with H2	dissimilatory arsenite oxidation	69		
methanogenesis by CO2 reduction with H2	anammox	3235		
methanogenesis by CO2 reduction with H2	nitrate denitrification	6955		
methanogenesis by CO2 reduction with H2	nitrite denitrification	4267		
methanogenesis by CO2 reduction with H2	nitrous oxide denitrification	3518		
methanogenesis by CO2 reduction with H2	chitinolysis	1486		
methanogenesis by CO2 reduction with H2	knallgas bacteria	1383		
methanogenesis by CO2 reduction with H2	nitrogen fixation	579		
methanogenesis by CO2 reduction with H2	nitrate ammonification	3246		
methanogenesis by CO2 reduction with H2	nitrite ammonification	3199		
methanogenesis by CO2 reduction with H2	nitrite respiration	4222		
methanogenesis by CO2 reduction with H2	gelatin degradation	7280		
methanogenesis by CO2 reduction with H2	cellulolysis	2163		
methanogenesis by CO2 reduction with H2	xylanolysis	916		
methanogenesis by CO2 reduction with H2	dark sulfide oxidation	298		
methanogenesis by CO2 reduction with H2	dark sulfur oxidation	530		
methanogenesis by CO2 reduction with H2	dark thiosulfate oxidation	609		
methanogenesis by CO2 reduction with H2	dark oxidation of sulfur compounds	424		
methanogenesis by CO2 reduction with H2	manganese oxidation	298		
methanogenesis by CO2 reduction with H2	manganese respiration	3475		
methanogenesis by CO2 reduction with H2	ligninolysis	68		
methanogenesis by CO2 reduction with H2	fermentation	8131		
methanogenesis by CO2 reduction with H2	lactic acid fermentation	4790		
methanogenesis by CO2 reduction with H2	alcohol fermentation	4428		
methanogenesis by CO2 reduction with H2	aerobic chemoheterotrophy	9294		
methanogenesis by CO2 reduction with H2	invertebrate parasites	143		
methanogenesis by CO2 reduction with H2	human pathogens septicemia	43		
methanogenesis by CO2 reduction with H2	human pathogens pneumonia	53		
methanogenesis by CO2 reduction with H2	human pathogens nosocomia	13		
methanogenesis by CO2 reduction with H2	human pathogens meningitis	34		
methanogenesis by CO2 reduction with H2	human pathogens gastroenteritis	23		
methanogenesis by CO2 reduction with H2	human pathogens diarrhea	23		
methanogenesis by CO2 reduction with H2	human pathogens all	446		
methanogenesis by CO2 reduction with H2	fish parasites	21		
methanogenesis by CO2 reduction with H2	human gut	326		
methanogenesis by CO2 reduction with H2	human associated	1232		
methanogenesis by CO2 reduction with H2	mammal gut	502		
methanogenesis by CO2 reduction with H2	animal parasites or symbionts	1167		
methanogenesis by CO2 reduction with H2	plant pathogen	219		
methanogenesis by CO2 reduction with H2	oil bioremediation	170		
methanogenesis by CO2 reduction with H2	aromatic hydrocarbon degradation	379		
methanogenesis by CO2 reduction with H2	aromatic compound degradation	1071		
methanogenesis by CO2 reduction with H2	aliphatic non methane hydrocarbon degradation	205		
methanogenesis by CO2 reduction with H2	hydrocarbon degradation	428		
methanogenesis by CO2 reduction with H2	dark iron oxidation	192		
methanogenesis by CO2 reduction with H2	iron oxidation	145		
methanogenesis by CO2 reduction with H2	iron respiration	3718		
methanogenesis by CO2 reduction with H2	nitrate respiration	7099		
methanogenesis by CO2 reduction with H2	nitrate reduction	8380		
methanogenesis by CO2 reduction with H2	nitrogen respiration	4137		
methanogenesis by CO2 reduction with H2	fumarate respiration	3897		
methanogenesis by CO2 reduction with H2	intracellular parasites	135		
methanogenesis by CO2 reduction with H2	chlorate reducers	22		
methanogenesis by CO2 reduction with H2	predatory or exoparasitic	19		
methanogenesis by CO2 reduction with H2	anoxygenic photoautotrophy H2 oxidizing	1785		
methanogenesis by CO2 reduction with H2	anoxygenic photoautotrophy S oxidizing	1830		
methanogenesis by CO2 reduction with H2	anoxygenic photoautotrophy Fe oxidizing	1724		
methanogenesis by CO2 reduction with H2	anoxygenic photoautotrophy	1850		
methanogenesis by CO2 reduction with H2	oxygenic photoautotrophy	13341		
methanogenesis by CO2 reduction with H2	photoautotrophy	1909		
methanogenesis by CO2 reduction with H2	aerobic anoxygenic phototrophy	2884		
methanogenesis by CO2 reduction with H2	photoheterotrophy	1809		
methanogenesis by CO2 reduction with H2	phototrophy	1902		
methanogenesis by CO2 reduction with H2	plastic degradation	285		
methanogenesis by CO2 reduction with H2	ureolysis	6869		
methanogenesis by CO2 reduction with H2	reductive acetogenesis	452		
methanogenesis by CO2 reduction with H2	lactate oxidation	2058		
methanogenesis by CO2 reduction with H2	alginate degradation	389		
methanogenesis by CO2 reduction with H2	pectin degradation	574		
methanogenesis by CO2 reduction with H2	collagen degradation	132		
methanogenesis by CO2 reduction with H2	facultative anaerobes	6734		
methanogenesis by reduction of methyl compounds with H2	hydrogenotrophic methanogenesis	13287		
methanogenesis by reduction of methyl compounds with H2	methanol oxidation	712		
methanogenesis by reduction of methyl compounds with H2	methylotrophy	444		
methanogenesis by reduction of methyl compounds with H2	aerobic ammonia oxidation	1394		
methanogenesis by reduction of methyl compounds with H2	aerobic nitrite oxidation	1587		
methanogenesis by reduction of methyl compounds with H2	nitrification	1581		
methanogenesis by reduction of methyl compounds with H2	sulfate respiration	4850		
methanogenesis by reduction of methyl compounds with H2	sulfur respiration	4857		
methanogenesis by reduction of methyl compounds with H2	dark sulfite oxidation	397		
methanogenesis by reduction of methyl compounds with H2	sulfite respiration	5813		
methanogenesis by reduction of methyl compounds with H2	thiosulfate respiration	6054		
methanogenesis by reduction of methyl compounds with H2	respiration of sulfur compounds	5925		
methanogenesis by reduction of methyl compounds with H2	arsenate detoxification	151		
methanogenesis by reduction of methyl compounds with H2	arsenate respiration	3467		
methanogenesis by reduction of methyl compounds with H2	dissimilatory arsenate reduction	84		
methanogenesis by reduction of methyl compounds with H2	arsenite oxidation detoxification	98		
methanogenesis by reduction of methyl compounds with H2	arsenite oxidation energy yielding	286		
methanogenesis by reduction of methyl compounds with H2	dissimilatory arsenite oxidation	69		
methanogenesis by reduction of methyl compounds with H2	anammox	3235		
methanogenesis by reduction of methyl compounds with H2	nitrate denitrification	6955		
methanogenesis by reduction of methyl compounds with H2	nitrite denitrification	4267		
methanogenesis by reduction of methyl compounds with H2	nitrous oxide denitrification	3518		
methanogenesis by reduction of methyl compounds with H2	chitinolysis	1486		
methanogenesis by reduction of methyl compounds with H2	knallgas bacteria	1336		
methanogenesis by reduction of methyl compounds with H2	dark hydrogen oxidation	784		
methanogenesis by reduction of methyl compounds with H2	nitrogen fixation	578		
methanogenesis by reduction of methyl compounds with H2	nitrate ammonification	3246		
methanogenesis by reduction of methyl compounds with H2	nitrite ammonification	3199		
methanogenesis by reduction of methyl compounds with H2	nitrite respiration	4222		
methanogenesis by reduction of methyl compounds with H2	gelatin degradation	7280		
methanogenesis by reduction of methyl compounds with H2	cellulolysis	2163		
methanogenesis by reduction of methyl compounds with H2	xylanolysis	916		
methanogenesis by reduction of methyl compounds with H2	dark sulfide oxidation	295		
methanogenesis by reduction of methyl compounds with H2	dark sulfur oxidation	530		
methanogenesis by reduction of methyl compounds with H2	dark thiosulfate oxidation	609		
methanogenesis by reduction of methyl compounds with H2	dark oxidation of sulfur compounds	421		
methanogenesis by reduction of methyl compounds with H2	manganese oxidation	298		
methanogenesis by reduction of methyl compounds with H2	manganese respiration	3475		
methanogenesis by reduction of methyl compounds with H2	ligninolysis	68		
methanogenesis by reduction of methyl compounds with H2	fermentation	8129		
methanogenesis by reduction of methyl compounds with H2	lactic acid fermentation	4788		
methanogenesis by reduction of methyl compounds with H2	alcohol fermentation	4426		
methanogenesis by reduction of methyl compounds with H2	aerobic chemoheterotrophy	9247		
methanogenesis by reduction of methyl compounds with H2	invertebrate parasites	143		
methanogenesis by reduction of methyl compounds with H2	human pathogens septicemia	43		
methanogenesis by reduction of methyl compounds with H2	human pathogens pneumonia	53		
methanogenesis by reduction of methyl compounds with H2	human pathogens nosocomia	13		
methanogenesis by reduction of methyl compounds with H2	human pathogens meningitis	34		
methanogenesis by reduction of methyl compounds with H2	human pathogens gastroenteritis	23		
methanogenesis by reduction of methyl compounds with H2	human pathogens diarrhea	23		
methanogenesis by reduction of methyl compounds with H2	human pathogens all	446		
methanogenesis by reduction of methyl compounds with H2	fish parasites	21		
methanogenesis by reduction of methyl compounds with H2	human gut	325		
methanogenesis by reduction of methyl compounds with H2	human associated	1228		
methanogenesis by reduction of methyl compounds with H2	mammal gut	501		
methanogenesis by reduction of methyl compounds with H2	animal parasites or symbionts	1166		
methanogenesis by reduction of methyl compounds with H2	plant pathogen	219		
methanogenesis by reduction of methyl compounds with H2	oil bioremediation	169		
methanogenesis by reduction of methyl compounds with H2	aromatic hydrocarbon degradation	379		
methanogenesis by reduction of methyl compounds with H2	aromatic compound degradation	1071		
methanogenesis by reduction of methyl compounds with H2	aliphatic non methane hydrocarbon degradation	205		
methanogenesis by reduction of methyl compounds with H2	hydrocarbon degradation	428		
methanogenesis by reduction of methyl compounds with H2	dark iron oxidation	192		
methanogenesis by reduction of methyl compounds with H2	iron oxidation	145		
methanogenesis by reduction of methyl compounds with H2	iron respiration	3718		
methanogenesis by reduction of methyl compounds with H2	nitrate respiration	7099		
methanogenesis by reduction of methyl compounds with H2	nitrate reduction	8380		
methanogenesis by reduction of methyl compounds with H2	nitrogen respiration	4137		
methanogenesis by reduction of methyl compounds with H2	fumarate respiration	3897		
methanogenesis by reduction of methyl compounds with H2	intracellular parasites	135		
methanogenesis by reduction of methyl compounds with H2	chlorate reducers	22		
methanogenesis by reduction of methyl compounds with H2	predatory or exoparasitic	19		
methanogenesis by reduction of methyl compounds with H2	anoxygenic photoautotrophy H2 oxidizing	1781		
methanogenesis by reduction of methyl compounds with H2	anoxygenic photoautotrophy S oxidizing	1828		
methanogenesis by reduction of methyl compounds with H2	anoxygenic photoautotrophy Fe oxidizing	1722		
methanogenesis by reduction of methyl compounds with H2	anoxygenic photoautotrophy	1845		
methanogenesis by reduction of methyl compounds with H2	oxygenic photoautotrophy	13293		
methanogenesis by reduction of methyl compounds with H2	photoautotrophy	1904		
methanogenesis by reduction of methyl compounds with H2	aerobic anoxygenic phototrophy	2838		
methanogenesis by reduction of methyl compounds with H2	photoheterotrophy	1805		
methanogenesis by reduction of methyl compounds with H2	phototrophy	1898		
methanogenesis by reduction of methyl compounds with H2	plastic degradation	284		
methanogenesis by reduction of methyl compounds with H2	ureolysis	6869		
methanogenesis by reduction of methyl compounds with H2	reductive acetogenesis	451		
methanogenesis by reduction of methyl compounds with H2	acetate oxidation	2632		
methanogenesis by reduction of methyl compounds with H2	lactate oxidation	2056		
